419;LOS CORDOBAS
420;LA JAGUA DEL PILAR
421;LURUACO
425;MACANAL
425;MACARAVITA
425;MACEO
425;MEDIO ATRATO
426;MACHETA
427;MAGsI
429;MAJAGUAL
430;LA VICTORIA
430;MADRID
430;MAGANGUE
430;MAICAO
430;MEDIO BAUDO
430;TRINIDAD
432;MALAGA
433;MAHATES
433;MALAMBO
433;MANZANARES
435;MALLAMA
436;MANATI
436;MANTA
438;MEDINA
440;MARGARITA
440;MARINILLA
440;MARSELLA
440;VILLANUEVA
442;MARIA LA BAJA
442;MARIPI
442;MARMATO
443;MANAURE
443;MARIQUITA
444;MARQUETALIA
444;MATANZA
446;MARULANDA
449;MELGAR
450;MEDIO SAN JUAN
450;MERCADERES
450;PUERTO CONCORDIA
455;MIRAFLORES
455;MIRANDA
456;MISTRATO
458;MONTECRISTO
460;MILAN
460;MIRITI - PARANA
460;NUEVA GRANADA
461;MURILLO
464;MOGOTES
464;MOMIL
464;MONGUA
466;MONGUI
466;MONTELIBANO
467;MONTEBELLO
468;MOLAGAVITA
468;MOMPOS
469;MONIQUIRA
470;MONTENEGRO
473;MORALES
473;MORALES
473;MORROA
473;MOSQUERA
473;MOSQUERA
475;MURINDO
476;MOTAVITA
479;MORELIA
480;MUTATA
480;MUTISCUA
480;MUZO
480;NARIÑO
483;NARIÑO
483;NARIÑO
483;NATAGA
483;NATAGAIMA
486;NEIRA
486;NEMOCON
488;NILO
489;NIMAIMA
490;NECOCLI
490;NOROSI
490;OLAYA HERRERA
491;NOBSA
491;NOCAIMA
491;NOVITA
494;NUEVO COLON
495;NECHI
495;NORCASIA
495;NUQUI
497;OBANDO
498;OCAMONTE
498;OCAÑA
500;MOÑITOS
500;OIBA
500;OICATA
501;OLAYA
502;ONZAGA
503;OPORAPA
504;ORTEGA
506;OSPINA
506;VENECIA
507;OTANCHE
508;OVEJAS
511;PACHAVITA
511;PACOA
513;PACHO
513;PACORA
513;PADILLA
514;PAEZ
516;PAIPA
517;PAEZ
517;PAILITAS
518;PAICOL
518;PAIME
518;PAJARITO
518;PAMPLONA
520;FRANCISCO PIZARRO
520;PALMAR DE VARELA
520;PALMIRA
520;PALOCABILDO
520;PAMPLONITA
522;PALMAR
522;PANQUEBA
523;PALMITO
524;LA PRIMAVERA
524;PALERMO
524;PALESTINA
524;PALMAS DEL SOCORRO
524;PANDI
530;PALESTINA
530;PARATEBUENO
530;PUERTO ALEGRIA
531;PAUNA
532;PATIA
533;PARAMO
533;PAYA
533;PIAMONTE
535;PASCA
536;PUERTO ARICA
537;PAZ DE RIO
540;POLICARPA
540;PUERTO NARIÑO
541;PEÐOL
541;PEDRAZA
541;PENSILVANIA
542;PESCA
543;PEQUE
545;PIJIÑO DEL CARMEN
547;PIEDECUESTA
547;PIEDRAS
